"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"10306","然之(#11)","现金记账(#194)","","没有记账设置权限的借贷信息编辑验证","已登录，进入现金记账借贷界面，有借贷信息交易时间为2018-11-30，账号为公司，交易为借贷，金额为￥222	，经手人为admin，状态为未还贷，没有设置记账设置权限","1. 点击编辑，点击保存
2. 点击编辑，修改金额为空，点击保存
3. 点击编辑，修改金额为aaa，点击保存
4. 点击编辑，修改经手人为空，点击保存
5. 点击编辑，修改交易时间为2018-11-28，点击保存
6. 点击编辑，修改截止日期为2018-11-20，点击保存
7. 点击编辑，修改交易时间为aaa，点击保存，点击交易时间输入框
8. 点击编辑，点击上传文件的选择文件，选择超过32M的文件，点击确定
","1. 跳转到编辑页面，提示保存成功，返回借贷界面
2. 跳转到编辑页面，提示金额不能为空
3. 跳转到编辑页面，提示保存成功，返回借贷界面，金额显示为0
4. 跳转到编辑页面，提示经手人不能为空
5. 跳转到编辑页面，提示保存成功，返回借贷界面
6. 跳转到编辑页面，提示保存成功，返回借贷界面,，显示截至日期为2018-11-20
7. 跳转到编辑页面,出现选择日期框，选择日期框消失，提示截止日期应当为合法的日期。
8. 跳转到编辑页面，出现选择文件窗口，提示文件大小已经超过限制，不能成功上传，文件没有上传
","","","3","功能测试","","正常","0","1","8","通过","杨凯静","2018-11-30","杨凯静","2018-12-08","4","",""
"10305","然之(#11)","现金记账(#194)","","借贷信息添加","已登录，进入现金记账借贷界面，有账号信息123、456,经手人有admin","1. 点击借贷，选择账号123，添加金额111，选择经手人admin与日期2018-11-18，点击保存
2. 点击借贷，选择账号为空，添加金额111，选择经手人admin与日期2018-11-18，点击保存
3. 点击借贷，选择账号456，不添加金额，选择经手人admin与日期2018-11-18，点击保存
4. 点击借贷，选择账号456，添加金额aaa，选择经手人admin与日期2018-11-18，点击保存
5. 点击借贷，选择账号456，添加金额安安，选择经手人admin与日期2018-11-18，点击保存
6. 点击借贷，选择账号456，添加金额#，选择经手人admin与日期2018-11-18，点击保存
7. 点击借贷，选择账号456，添加金额111，不选择经手人，选择日期2018-11-18，点击保存
8. 点击借贷，选择账号123，添加金额111，选择经手人admin与输入日期aaa，点击保存，点击交易时间输入框
","1. 跳转到借贷信息添加界面，提示保存成功，返回到借贷界面，显示出添加信息
2. 跳转到借贷信息添加界面，提示账号不能为空
3. 跳转到借贷信息添加界面，提示金额不能为空
4. 跳转到借贷信息添加界面，提示保存成功，返回借贷页面，显示金额为0
5. 跳转到借贷信息添加界面，提示保存成功，返回借贷页面，显示金额为0
6. 跳转到借贷信息添加界面，提示保存成功，返回借贷页面，显示金额为0
7. 跳转到借贷信息添加界面，提示经手人不能为空
8. 跳转到借贷信息添加界面，出现时间选择框，时间选择框消失，提示交易时间应当为合法的日期
","","","3","功能测试","","正常","0","1","8","通过","杨凯静","2018-11-30","杨凯静","2018-12-08","2","",""
"10304","然之(#11)","现金记账(#194)","","投资信息删除功能验证","已登录，进入现金记账投资页面，存在账户投资信息","1. 点击删除，确认删除
2. 点击删除，取消删除
","1. 出现是否确认删除选择框，信息删除
2. 出现是否确认删除选择框，信息没有删除
","","","3","功能测试","","正常","0","1","2","通过","杨凯静","2018-11-30","","0000-00-00","1","",""
"10303","然之(#11)","现金记账(#194)","","投资信息明细功能验证","已登录，进入现金记账投资页面，存在账户投资信息交易时间为2018-12-09，账号为asd，交易为投资，金额为￥100，经手人为admin，状态为未赎回，记账时间为2018-12-09","1. 点击明细，点击保存
2. 点击明细，点击+，添加与投资金额相同的金额100，添加说明，点击保存
3. 点击明细，点击×，点击保存
4. 点击明细，点击+，添加与投资信息不同的金额111，点击保存，点击确定
","1. 出现明细编辑框，提示保存成功，返回投资页面信息无变化
2. 出现明细编辑框，提示保存成功，返回投资页面信息有变化
3. 出现明细编辑框，选中明细删除，提示保存成功，返回投资页面信息无变化
4. 出现明细编辑框，提示金额与当前交易金额不相等是否确定，提示保存成功，返回投资页面信息有变化
","","","3","功能测试","","正常","0","1","4","阻塞","杨凯静","2018-11-30","杨凯静","2018-12-09","3","",""
"10302","然之(#11)","现金记账(#194)","","投资信息编辑验证","已登录，记账设置中没有勾选任何权限,进入现金记账投资页面，存在账户投资信息交易时间为2018-12-09，账号为asd，交易为投资，金额为￥100，经手人为admin，状态为未赎回，记账时间为2018-12-09，存在账号asd、123","1. 点击编辑，点击保存
2. 点击编辑，修改账号为123，点击保存
3. 点击编辑，修改金额为空，点击保存
4. 点击编辑，修改金额为一百，点击保存
5. 点击编辑，修改金额为#，点击保存
6. 点击编辑，修改金额为one，点击保存
7. 点击编辑，修改经手人为空，点击保存
8. 点击编辑，修改交易时间为空，点击保存，点击任意空白处
9. 点击编辑，修改交易时间为aaa，点击保存，点击任意空白处
10. 点击编辑，修改交易时间为日期，点击保存，点击任意空白处
","1. 跳转到编辑页面，提示保存成功
2. 跳转到编辑页面，提示保存成功
3. 跳转到编辑页面，提示金额不能为空
4. 跳转到编辑页面，提示保存成功，返回投资页面，金额变为0
5. 跳转到编辑页面，提示保存成功，返回投资页面，金额变为0
6. 跳转到编辑页面，提示保存成功，返回投资页面，金额变为0
7. 跳转到编辑页面，提示经手人不能为空
8. 跳转到编辑页面，出现时间选择框，提示交易时间不能为空
9. 跳转到编辑页面，出现时间选择框，提示交易时间不能为空
10. 跳转到编辑页面，出现时间选择框，提示交易时间不能为空
","","","3","功能测试","","正常","0","2","10","通过","杨凯静","2018-11-30","杨凯静","2018-12-09","4","",""
"10301","然之(#11)","现金记账(#194)","","投资信息查看验证","已登录，进入现金记账投资页面，存在账户投资信息","1. 点击查看
","1. 跳转到详情页面，出现相关信息
","","","3","功能测试","","正常","0","1","1","通过","杨凯静","2018-11-30","","0000-00-00","1","",""
"10300","然之(#11)","现金记账(#194)","","赎回信息添加","已登录，进入现金记账投资页面，存在账户信息交易时间为2018-12-09，账号为asd，交易为投资，金额为￥100，经手人为admin，状态为未赎回，记账时间为2018-12-09；交易时间为2018-12-09，账号为123，交易为投资，金额为￥100，经手人为admin，状态为未赎回，记账时间为2018-12-09","1. 点击赎回，选择账号asd、投资2018-12-09asd投资￥100、金额100、经手人admin，点击保存
2. 点击赎回，选择账号为空，选择投资2018-12-09asd投资￥100、金额100、经手人admin，点击保存
3. 点击赎回，选择账号为空，选择投资一百，金额100、经手人admin，点击保存
4. 点击赎回，选择账号123、不选择投资、金额100、经手人admin，点击保存
5. 点击赎回，选择账号asd、投资2018-12-09asd投资￥100、不填写金额、经手人admin，点击保存
6. 点击赎回，选择账号asd、投资2018-12-09asd投资￥100、填写金额一百、经手人admin，点击保存
7. 点击赎回，点击赎回，选择账号asd、投资2018-12-09asd投资￥100、金额100、不输入经手人，点击保存
","1. 跳转到赎回界面，提示保存成功，返回投资界面，投资信息变为已赎回
2. 跳转到赎回界面，提示账号不能为空
3. 跳转到赎回界面，提示没有匹配的选项一百
4. 跳转到赎回界面，提示投资应当是数字
5. 跳转到赎回界面，提示金额应当是数字
6. 跳转到赎回界面，提示保存成功，跳转回投资页面，投资信息变为赎回中
7. 跳转到赎回界面，提示经手人不能为空
","","","3","功能测试","","正常","0","1","7","通过","杨凯静","2018-11-30","杨凯静","2018-12-09","4","",""
"10299","然之(#11)","现金记账(#194)","","投资信息添加验证","已登录，进入现金记账投资页面，存在账户信息123、asd","1. 点击投资，依次添加账户asd、金额100和经手人admin，点击保存
2. 点击投资，依次添加金额100和经手人admin，不添加账户，点击保存
3. 点击投资，依次添加账户123和经手人admin，不添加金额，点击保存
4. 点击投资，依次添加账户123、金额100，不添加经手人，点击保存
","1. 跳转到投资页面，提示保存成功，返回到投资页面，显示出添加的投资信息
2. 跳转到投资页面，提示账号不能为空
3. 跳转到投资页面，提示金额不能为空
4. 跳转到投资页面，提示经手人不能为空
","","","3","功能测试","","正常","0","1","4","通过","杨凯静","2018-11-30","杨凯静","2018-12-09","3","",""
"10298","然之(#11)","现金记账(#194)","","转账信息删除功能","已登录，进入现金记账转账页面，有已保存的转账信息","1. 点击删除
2. 点击确定
","1. 出现是否确认删除选择操作框
2. 信息被删除
","","","3","功能测试","","正常","0","1","2","通过","杨凯静","2018-11-30","杨凯静","2018-12-09","2","",""
"10297","然之(#11)","现金记账(#194)","","转账信息明细功能","已登录，进入现金记账转账页面，有已保存的转账信息交易时间为2018-12-09，账号为qwe，交易为转入，金额为￥100，经手人为admin，记账日期为2018-12-09
交易时间为2018-12-09，账号为公司，交易为转出，金额为￥100，经手人为admin，记账日期为2018-12-09
		","1. 点击账号为公司明细，点击保存
2. 点击账号为公司明细，点击＋号，添加金额为100，点击保存，点击确定
3. 点击账号为公司明细，点击×号，点击保存
","1. 出现明细编辑框，提示保存成功，返回转账页面，信息无变化
2. 出现明细编辑框，提示明细总金额和当前交易金额不相等，确定保存当前明细吗，提示保存成功，返回转账页面，信息无变化
3. 出现明细编辑框，提示保存成功，信息有变化
","","","3","功能测试","","正常","0","1","3","通过","杨凯静","2018-11-30","杨凯静","2018-12-09","2","",""
"10296","然之(#11)","现金记账(#194)","","转账信息编辑功能","已登录，进入现金记账转账页面，有已保存的转账信息","1. 点击编辑，对账号、金额、经手人、时任意一项进行修改，点击保存
2. 点击编辑，不进行修改，点击保存
","1. 跳转到编辑账目节目界面提示保存成功，信息改变
2. 跳转到编辑账目节目界面提示保存成功，信息不改变
","","","3","功能测试","","正常","0","1","2","通过","杨凯静","2018-11-30","","0000-00-00","1","",""
"10295","然之(#11)","现金记账(#194)","","转账信息查看功能","已登录，进入现金记账转账页面，有已保存的转账信息","1. 点击查看
2. 点击返回
","1. 跳转到详情页面，显示信息的基本信息和历史记录
2. 返回到转账页面
","","","3","功能测试","","正常","0","1","2","通过","杨凯静","2018-11-30","","0000-00-00","1","",""
"10294","然之(#11)","现金记账(#194)","","时间不同的转账信息添加验证","已登录，进入现金记账转账页面，有已保存的转账信息交易时间为2018-12-09，账号为qwe，交易为转入，金额为￥100，经手人为admin，记账日期为2018-12-09，交易时间为2018-12-09，账号为公司，交易为转出，金额为￥100，经手人为admin，记账日期为2018-12-09
		","1. 点击转账
2. 输入与已保存转账信息除时间外完全相同转账的信息
3. 点击保存
","1. 跳转到添加转账信息页面
2. 
3. 提示保存成功，返回转账页面，转账页面出现添加的转账信息
","","","3","功能测试","","正常","0","1","3","通过","杨凯静","2018-11-30","杨凯静","2018-12-09","2","",""
"10293","然之(#11)","现金记账(#194)","","转账信息添加验证","已登录，进入现金记账转账页面，有账户信息qwe、公司、123，有经手人信息admin
		","1. 点击转账，输入不同的付款账户qwe和收款账户123，输入金额111，输入经手人admin，时间2018-12-09，点击保存
2. 点击转账，输入相同的付款账户和收款账户123，输入金额100，输入经手人admin，时间2018-12-09，点击保存
3. 点击转账，输入相同的付款账户和收款账户123，输入金额一百，输入经手人admin，时间2018-12-09，点击保存
4. 点击转账，输入不同的付款账户123和收款账户公司，输入输入经手人admin，不输入金额，时间2018-12-09，点击保存
5. 点击转账，输入不同的付款账户qwe和收款账户公司，输入金额，时间，点击保存
6. 点击转账，输入不同的付款账户qwe和收款账户123，输入金额111，输入经手人admin，时间二零一八，点击保存，点击任意空白处
","1. 出现转账操作页面，提示保存成功，返回转账页面，转账页面出现添加的转账信息
2. 出现转账操作页面，提示付款账号不能与收款账号相同
3. 出现转账操作页面，提示保存成功，返回转账页面，转账页面出现添加的转账信息，金额为0
4. 出现转账操作页面，提示金额不能为空
5. 出现转账操作页面，提示经手人不能为空
6. 出现转账操作页面，出现时间选择框，提示交易时间应当为合法的日期
","","","3","功能测试","","正常","0","1","6","通过","杨凯静","2018-11-30","杨凯静","2018-12-09","2","",""
"10292","然之(#11)","现金记账(#194)","","导出功能验证","已登录，进入现金记账页面","1. 点击菜单栏里面的收入、支出、转账、投资、借贷其中任意一个，点击导出，选择导出本页记录或者全部记录任意一个，输入导出文件名，格式为GBK，点击保存
2. 点击菜单栏里面的收入、支出、转账、投资、借贷其中任意一个，点击导出，选择导出本页记录或者全部记录任意一个，不输入导出文件名，格式为GBK，点击保存
","1. 跳转到对应菜单页面，成功导出文件
2. 跳转到对应菜单页面，成功导出文件
","","","3","功能测试","","正常","0","1","2","通过","杨凯静","2018-11-30","杨凯静","2018-11-30","1","",""
"10003","然之(#11)","现金记账(#194)","","批量编辑功能验证","已登录，进入现金记账收入页面，收入页面有收入信息存在","1. 勾选想要编辑的收入信息
2. 点击编辑
3. 进行部分信息的修改
4. 点击保存
","1. 出现批量编辑页面
2. 
3. 提示保存成功
4. 
","","","3","功能测试","","正常","0","1","4","通过","杨凯静","2018-11-28","杨凯静","2018-11-28","1","",""
"10002","然之(#11)","现金记账(#194)","","批量记账功能验证","已登录，进入现金记账收入页面","1. 点击批量记账
2. 创建10条收入信息
3. 点击保存
","1. 出现批量记账页面
2. 
3. 收入信息页面出现添加信息
","","","3","功能测试","","正常","0","1","3","通过","杨凯静","2018-11-28","","0000-00-00","1","",""
"10001","然之(#11)","现金记账(#194)","","收入信息删除验证","已登录，进入现金记账收入页面，有收入信息","1. 点击收入信息的删除操作
2. 确认删除
","1. 出现是否确认删除选择
2. 提示删除成功
","","","3","功能测试","","正常","0","1","2","通过","杨凯静","2018-11-28","杨凯静","2018-12-04","2","",""
"10000","然之(#11)","现金记账(#194)","","收入信息明细操作验证","已登录，进入现金记账收入页面，有收入信息交易时间为2018-11-28，账号为易软天创中信对公账号，交易为收入，金额为￥222，经手人为admin	","1. 点击收入信息的明细操作，输入金额222，输入说明收入222，点击保存

2. 点击收入信息的明细操作，输入金额100，输入说明收入100，点击保存，点击确定
3. 点击收入信息的明细操作，点击金额为222的明细旁边的×，点击保存
4. 点击收入信息的明细操作，点击+，输入金额122，输入说明收入100，点击保存
","1. 出现明细编辑界面，提示保存成功
2. 出现明细编辑界面，提示金额与当前交易金额不相等是否确定，提示保存成功，返回收入页面信息无变化
3. 出现明细编辑界面，删除成功，提示保存成功
4. 出现明细编辑界面，提示保存成功，返回收入页面信息无变化
","","","3","功能测试","","正常","0","1","4","通过","杨凯静","2018-11-28","杨凯静","2018-12-09","4","",""
"9999","然之(#11)","现金记账(#194)","","收入信息编辑操作验证","已登录，进入现金记账收入页面，有收入信息","1. 点击收入信息的编辑操作,对客户、金额、经手人、交易时间任意一项进行修改,点击保存
2. 点击收入信息的编辑操作,对金额修改为英文或拼音,点击保存
","1. 出现编辑页面,提示保存成功
2. 出现编辑页面,提示保存成功
","","","3","功能测试","","正常","0","1","2","通过","杨凯静","2018-11-28","杨凯静","2018-12-04","2","",""
"9998","然之(#11)","现金记账(#194)","","收入信息查看操作验证","已登录，进入现金记账收入页面，有收入信息","1. 点击收入信息的查看操作
","1. 出现账目详情信息
","","","3","功能测试","","正常","0","1","1","通过","杨凯静","2018-11-28","","0000-00-00","1","",""
"9997","然之(#11)","现金记账(#194)","","添加收入功能验证","已登录，进入现金记账收入页面，设置的权限设置没有勾选任何选项，有账户123、qwe","1. 点击计收入，输入账号123、金额1000、经手人admin、交易时间信息2018-12-09，点击保存
2. 点击计收入，不输入账号，金额2000、经手人admin、交易时间信息2018-12-09，点击保存
3. 点击计收入，输入账号qwe、经手人admin、交易时间信息2018-12-09，不输入金额，点击保存
4. 点击计收入，输入账号qwe、金额1000、交易时间信息2018-12-09，不输入经手人，点击保存
5. 点击计收入，输入账号qwe、金额1000、经手人admin，不输入交易时间信息，点击保存
","1. 出现添加收入页面，提示保存成功，收入显示栏出现收入记录
2. 出现添加收入页面，提示账号不能为空。;账号应当是数字
3. 出现添加收入页面，提示金额不能为空
4. 出现添加收入页面，提示经手人不能为空
5. 出现添加收入页面，提示交易时间不能为空
","1. 
2. 
3. 
4. 
5. 
","","3","功能测试","","正常","1","1","5","失败","杨凯静","2018-11-28","杨凯静","2018-12-09","2","",""
"9996","然之(#11)","现金记账(#194)","","登记余额功能验证","已登录，进入现金记账账户页面，账号页面正常账号存在账户123、qwe，进入账户123余额信息界面","1. 点击登记余额，输入金额100，点击保存
2. 点击登记余额，更改账号为qwe，输入金额，点击保存
","1. 跳转到登记余额界面，提示保存成功，返回账户余额界面，出现添加信息
2. 跳转到登记余额界面，提示保存成功，返回账户余额界面，更改前的账户123账户余额信息页面没有变化
","","","3","功能测试","","正常","0","2","2","通过","杨凯静","2018-11-28","杨凯静","2018-12-09","2","",""
"9995","然之(#11)","现金记账(#194)","","账户余额删除功能验证","已登录，进入现金记账账户页面，账号页面正常账号存在账户，进入账户余额信息界面","1. 点击删除
2. 点击确定
","1. 出现是否确认删除选择框
2. 提示删除成功
","","","3","功能测试","","正常","0","1","2","通过","杨凯静","2018-11-28","","0000-00-00","1","",""
"9994","然之(#11)","现金记账(#194)","","账户余额编辑功能验证","已登录，进入现金记账账户页面，账号页面正常账号存在账户123、qwe，进入账户123的余额信息界面","1. 点击账编辑，不修改账号，点击保存
2. 点击编辑，修改账号为qwe，点击保存
","1. 提示保存成功，账户信息无变化
2. 提示保存成功，修改的余额信息从此账号123上消失
","1. 
2. 
","","3","功能测试","","正常","1","1","2","失败","杨凯静","2018-11-28","杨凯静","2018-12-09","4","",""
"9993","然之(#11)","现金记账(#194)","","账户余额查询验证","已登录，进入现金记账账户页面，账号页面正常账号存在账户","1. 点击任意一个账号的余额操作
","1. 出现账户余额信息
","","","3","功能测试","","正常","0","1","1","通过","杨凯静","2018-11-28","","0000-00-00","1","",""
"9992","然之(#11)","现金记账(#194)","","正常账号与禁用账号多次切换操作验证","已登录，进入现金记账账户页面","1. 点击浏览账号的正常账号
2. 再点击禁用账号
3. 切换10次
","1. 跳转到正常账号页面
2. 切换到禁用账号页面
3. 两个页面可以随着切换而正常跳转
","","","3","功能测试","","正常","0","1","3","阻塞","杨凯静","2018-11-28","杨凯静","2018-12-04","3","",""
"9991","然之(#11)","现金记账(#194)","","账户页面删除操作验证","已登录，进入现金记账账户页面，账号页面正常账号存在有收入支出转账投资借贷任意交易记录和没有交易记录账户","1. 点击正常账号的任意一个没有交易记录账号的删除操作，确认删除
2. 点击正常账号的任意一个有交易记录账号的删除操作，确认删除
","1. 账号成功删除
2. 提示不能删除
","1. 
2. 有登记余额和计算余额的能够成功删除
","","3","功能测试","","正常","1","1","2","失败","杨凯静","2018-11-28","杨凯静","2018-12-04","1","",""
"9990","然之(#11)","现金记账(#194)","","账户页面激活操作功能验证","已登录，进入现金记账账户页面，账号页面禁用账号存在账户123","1. 点击禁用账号123账号的激活操作
2. 填写备注信息激活123，点击保存
","1. 出现激活备注框
2. 提示保存成功，返回正常账号页面，账号转移到正常账号页面
","1. 
2. 
","","3","功能测试","","正常","1","1","2","失败","杨凯静","2018-11-28","杨凯静","2018-12-09","3","",""
"9989","然之(#11)","现金记账(#194)","","账户页面禁用操作功能验证","已登录，进入现金记账账户页面，账号页面正常账号存在账户123","1. 点击正常账号页面123账号的禁用操作
2. 填写对应的备注信息禁用123
3. 点击保存
4. 点击禁用账号
","1. 出现备注操作框
2. 显示备注信息禁用123
3. 提示保存成功，返回正常账号页面，账号从正常账号浏览页面消失
4. 账号出现在禁用账号页面
","1. 
2. 
3. 
4. 
","","3","功能测试","","正常","1","1","4","失败","杨凯静","2018-11-28","杨凯静","2018-12-09","3","",""
"9988","然之(#11)","现金记账(#194)","","账户页面对账功能跳转验证","已登录，进入现金记账账户页面，账号页面存在账户","1. 点击任意一个账号的对账
","1. 成功跳转到现金记账的对账页面
","","","3","功能测试","","正常","0","1","1","通过","杨凯静","2018-11-28","","0000-00-00","1","",""
"9987","然之(#11)","现金记账(#194)","","账号编辑功能验证","已登录，进入现金记账账户页面，账号页面存在账户123，类型为现金账号","1. 点击123账号的编辑，点击修改类型，点击保存
2. 点击任意一个账号的编辑，点击修改简称为账户123，点击保存
3. 点击任意一个账号的编辑，点击修改货币类型，点击保存
","1. 出现编辑窗口，不能修改类型，提示保存成功，返回账户页面

2. 出现编辑窗口，提示保存成功，返回账户页面，变为账户123
3. 出现编辑窗口，不能修改货币类型，提示保存成功，返回账户页面
","","","3","功能测试","","正常","0","1","3","通过","杨凯静","2018-11-28","杨凯静","2018-12-09","3","",""
"9986","然之(#11)","现金记账(#194)","","账号导出功能验证","已登录，进入现金记账账户页面","1. 点击导出，给文件命名为账户导出表1，选择编码方式GBK，点击导出
2. 点击导出，给文件命名账户导出表2，选择编码方式UTF-8，点击导出
3. 点击导出，给文件命名为#，选择编码方式GBK，点击导出
4. 点击导出，不给文件命名，选择编码方式为GBK，点击导出
5. .点击导出，给文件命名空格” ”，选择任意一个编码方式，点击导出
","1. 出现文件导出操作窗口，文件成功导出
2. 出现文件导出操作窗口，文件成功导出
3. 出现文件导出操作窗口，文件成功导出
4. 出现文件导出操作窗口，文件成功导出
5. 出现文件导出操作窗口.文件成功导出
","1. 
2. 
3. 
4. 
5. 
","","3","功能测试","","正常","1","1","5","失败","杨凯静","2018-11-28","杨凯静","2018-12-09","4","",""
"9985","然之(#11)","现金记账(#194)","","添加账号信息不全验证","已登录，进入现金记账账户页面","1. 点击添加账号，设置类型现金账号、简称123和货币类型人民币，点击保存
2. 点击添加账号，设置简称123和货币类型人民币，点击保存
3. 点击添加账号，设置类型借记卡，设置货币类型为人民币，点击保存
4. 点击添加账号，设置类型在线支付、简称123，点击保存
","1. 出现添加账号操作框，提示保存成功，账号的浏览管理界面出现所添加账号123
2. 出现添加账号操作框，账号类型存在默认类型，不能为空，，账号的浏览管理界面出现所添加账号
3. 出现添加账号操作框，提示简称不能为空
4. 出现添加账号操作框，货币类型存在默认类型，不能为空，，账号的浏览管理界面出现所添加账号
","1. 
2. 
3. 
4. 
","","3","功能测试","","正常","1","1","4","失败","杨凯静","2018-11-28","杨凯静","2018-12-09","3","",""
